gspread_row;use_area;tool_name;repo_owner;repo_name;main_branch;total_commits;last_commit_check;fork_count;stars_count;watchers_count;license_name;primary_language;is_archived
51;Optimization Tools;Dask;dask;dask;main;6501;False;1268;8306;239;BSD 3-Clause "New" or "Revised" License;Python;False
52;Optimization Tools;DeepSpeed;microsoft;DeepSpeed;master;554;False;473;4875;106;MIT License;Python;False
53;Optimization Tools;Fiber;uber;fiber;master;66;False;98;885;23;Apache License 2.0;Python;False
54;Optimization Tools;Horovod;horovod;horovod;master;930;False;1822;11183;333;Other;Python;False
55;Optimization Tools;Mahout;apache;mahout;trunk;4499;False;958;1920;240;Apache License 2.0;Java;False
56;Optimization Tools;Modin;modin-project;modin;master;1359;False;432;6035;107;Other;Python;False
57;Optimization Tools;Petastorm;uber;petastorm;master;632;False;197;1141;40;Apache License 2.0;Python;False
58;Optimization Tools;Ray;ray-project;ray;master;7995;False;2602;15870;417;Apache License 2.0;Python;False
59;Optimization Tools;Singa;apache;singa;master;2265;False;630;2220;124;Apache License 2.0;C++;False
60;Optimization Tools;Tpot;EpistasisLab;tpot;master;2368;False;1399;7990;295;GNU Lesser General Public License v3.0;Python;False
61;Simplification Tools;Hermione;a3data;hermione;master;140;False;29;139;19;Apache License 2.0;Python;False
62;Simplification Tools;Koalas;databricks;koalas;master;1536;False;310;2790;166;Apache License 2.0;Python;False
63;Simplification Tools;Ludwig;ludwig-ai;ludwig;master;2123;False;908;7671;181;Apache License 2.0;Python;False
64;Simplification Tools;PyCaret;pycaret;pycaret;master;1737;False;744;3400;91;Other;Jupyter Notebook;False
65;Simplification Tools;TrainGenerator;jrieke;traingenerator;main;117;False;131;1001;38;MIT License;Python;False
66;Simplification Tools;Turi Create;apple;turicreate;main;1567;False;1101;10249;363;BSD 3-Clause "New" or "Revised" License;C++;False
67;Visual Analysis and Debugging;Manifold;uber;manifold;master;170;True;107;1463;59;Apache License 2.0;JavaScript;False
